Time;PlayerName;P1;P2;P3;P4
0;MPIB4;0;0;0;0
0;MPIB3;0;0.0001929012;0;0
0;MPIB2;0;0;0;0
0;MPIB1;0;0;0;0
0.05;MPIB4;0;0;0;0
0.05;MPIB3;0;9.645062E-05;0;0
0.05;MPIB2;0;0;0;0
0.05;MPIB1;0;0;0;0
0.1;MPIB4;0;0;0;0
0.1;MPIB3;0;9.645062E-05;0;0
0.1;MPIB2;0;0;0;0
0.1;MPIB1;0;0;0;0
0.15;MPIB4;0;0;0;0
0.15;MPIB3;0;9.645062E-05;0;0
0.15;MPIB2;0;0;0;0
0.15;MPIB1;0;0;0;0
0.2;MPIB4;0;0;0;0
0.2;MPIB3;0;9.645062E-05;0;0
0.2;MPIB2;0;0;0;0
0.2;MPIB1;0;0;0;0
0.25;MPIB4;0;0;0;0
0.25;MPIB3;0;9.645062E-05;0;0
0.25;MPIB2;0;0;0;0
0.25;MPIB1;0;0;0;0
0.3;MPIB4;0;0;0;0
0.3;MPIB3;0;0.0001446759;0;0
0.3;MPIB2;0;0;0;0
0.3;MPIB1;0;0;0;0
0.35;MPIB4;0;0;0;0
0.35;MPIB3;0;0.0001446759;0;0
0.35;MPIB2;0;0;0;0
0.35;MPIB1;0;0;0;0
0.4;MPIB4;0;0;0;0
0.4;MPIB3;0;0.0001446759;0;0
0.4;MPIB2;0;0;0;0
0.4;MPIB1;0;0;0;0
0.45;MPIB4;0;0;0;0
0.45;MPIB3;0;9.645062E-05;0;0
0.45;MPIB2;0;0;0;0
0.45;MPIB1;0;0;0;0
0.5;MPIB4;0;0;0;0
0.5;MPIB3;0;9.645062E-05;0;0
0.5;MPIB2;0;0;0;0
0.5;MPIB1;0;0;0;0
0.55;MPIB4;0;0;0;0
0.55;MPIB3;0;4.822531E-05;0;0
0.55;MPIB2;0;0;0;0
0.55;MPIB1;0;0;0;0
0.6;MPIB4;0;0;0;0
0.6;MPIB3;0;9.645062E-05;0;0
0.6;MPIB2;0;0;0;0
0.6;MPIB1;0;0;0;0
0.65;MPIB4;0;0;0;0
0.65;MPIB3;0;0.0002411265;0;0
0.65;MPIB2;0;0;0;0
0.65;MPIB1;0;0;0;0
0.7;MPIB4;0;0;0;0
0.7;MPIB3;0;0.0002893519;0;0
0.7;MPIB2;0;0;0;0
0.7;MPIB1;0;0;0;0
0.75;MPIB4;0;0;0;0
0.75;MPIB3;0;0.0002411265;0;0
0.75;MPIB2;0;0;0;0
0.75;MPIB1;0;0;0;0
0.8;MPIB4;0;0;0;0
0.8;MPIB3;0.0005787037;0.0001929012;0;0.0009162808
0.8;MPIB2;0.000626929;0;0;0.000626929
0.8;MPIB1;0;0;0;0
0.85;MPIB4;0;0;0;0
0.85;MPIB3;0.0003858025;0.0001446759;0;0.0005787037
0.85;MPIB2;0.0002893519;0;0;0.0002893519
0.85;MPIB1;0;0;0;0
0.9;MPIB4;0;0;0.0008680556;0
0.9;MPIB3;0.0003858025;0.0001446759;0;0.0004340278
0.9;MPIB2;0.0002411265;0;0;0.0002411265
0.9;MPIB1;0;0;0;0
0.95;MPIB4;0;0;0.001012731;0
0.95;MPIB3;0.0003375772;0.0002893519;0;0.0005787037
0.95;MPIB2;0.0002893519;0;0;0.0001929012
0.95;MPIB1;0;0;0;0
1;MPIB4;0;0;0.0009162808;0
1;MPIB3;0.0003375772;0.0002893519;0;0.0004822531
1;MPIB2;0.0002893519;0;0;0.0001929012
1;MPIB1;0;0;0;0
1.05;MPIB4;0;0;0.0009162808;0
1.05;MPIB3;0.0003375772;0.0002893519;0;0.0004822531
1.05;MPIB2;0.0002893519;0;0;0.0001446759
1.05;MPIB1;0;0;0;0
1.1;MPIB4;0;0;0.0009162808;0
1.1;MPIB3;0.0003375772;0.0003375772;0;0.0004822531
1.1;MPIB2;0.0001929012;0;0.0002411265;0.0001446759
1.1;MPIB1;0;0;0;0
1.15;MPIB4;0;0;0.0008198302;0
1.15;MPIB3;0.0003375772;0.0003375772;0;0.0004822531
1.15;MPIB2;0.0003375772;0;0.0002411265;0.0002893519
1.15;MPIB1;0;0;0;0
1.2;MPIB4;0;0;0.0008680556;0
1.2;MPIB3;0.0003375772;0.0002893519;0;0.0005304784
1.2;MPIB2;0.0007233796;0;0.0002893519;0.0005304784
1.2;MPIB1;0;0;0;0
1.25;MPIB4;0;0;0.0006751543;0
1.25;MPIB3;0.0004822531;0.0002893519;0;0.0006751543
1.25;MPIB2;0.0007233796;0;0.0002893519;0.0005304784
1.25;MPIB1;0;0;0;0
1.3;MPIB4;0;0;0.0006751543;0
1.3;MPIB3;0.0003858025;0.0003375772;0;0.0004340278
1.3;MPIB2;0;0;0.0002893519;0
1.3;MPIB1;0;0;0;0
1.35;MPIB4;0;0;0.0006751543;0
1.35;MPIB3;0.0004340278;0.0002411265;0;0.0005787037
1.35;MPIB2;0;0;0.0003858025;0
1.35;MPIB1;0;0;0;0
1.4;MPIB4;0;0;0.0006751543;0
1.4;MPIB3;0.0005304784;0.0002411265;0;0.0004822531
1.4;MPIB2;0;0;0.0003858025;0
1.4;MPIB1;0;0;0;0
1.45;MPIB4;0;0;0.0006751543;0
1.45;MPIB3;0.0003858025;0.0002893519;0;0.0004822531
1.45;MPIB2;0;0;0.0003858025;0
1.45;MPIB1;0;0;0;0
1.5;MPIB4;0;0;0.000626929;0
1.5;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.5;MPIB2;0;0;0.0003858025;0
1.5;MPIB1;0;0;0;0
1.55;MPIB4;0;0;0.0006751543;0
1.55;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.55;MPIB2;0;0;0.0003858025;0
1.55;MPIB1;0;0;0;0
1.6;MPIB4;0;0;0.000626929;0
1.6;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.6;MPIB2;0;0;0.0002411265;0
1.6;MPIB1;0;0;0;0
1.65;MPIB4;0;0;0.000626929;0
1.65;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.65;MPIB2;0;0;0.0003375772;0
1.65;MPIB1;0;0;0;0
1.7;MPIB4;0;0;0.0007233796;0
1.7;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.7;MPIB2;0;0;0.0003375772;0
1.7;MPIB1;0;0;0;0
1.75;MPIB4;0;0;0.0007233796;0
1.75;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.75;MPIB2;0;0;0.0002411265;0
1.75;MPIB1;0;0;0;0
1.8;MPIB4;0;0;0.0007233796;0
1.8;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.8;MPIB2;0;0;0.0001929012;0
1.8;MPIB1;0;0;0;0
1.85;MPIB4;0;0;0.0007233796;0
1.85;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.85;MPIB2;0;0;0.0001929012;0
1.85;MPIB1;0;0;0;0
1.9;MPIB4;0;0;0.0007233796;0
1.9;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.9;MPIB2;0;0;0.0002893519;0
1.9;MPIB1;0;0;0;0
1.95;MPIB4;0;0;0.0007233796;0
1.95;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
1.95;MPIB2;0;0;0.0001929012;0
1.95;MPIB1;0;0;0;0
2;MPIB4;0;0;0.0007233796;0
2;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2;MPIB2;0;0;0.0001446759;0
2;MPIB1;0;0;0;0
2.05;MPIB4;0;0;0.0007233796;0
2.05;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
2.05;MPIB2;0;0;0.0001446759;0.0007233796
2.05;MPIB1;0;0;0;0
2.1;MPIB4;0;0;0.0007233796;0
2.1;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
2.1;MPIB2;9.645062E-05;0;0.0001929012;0.000626929
2.1;MPIB1;0;0;0;0
2.15;MPIB4;0;0;0.0007233796;0
2.15;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.15;MPIB2;0.0007716049;0;0.0001446759;0.0005787037
2.15;MPIB1;0;0;0;0
2.2;MPIB4;0;0;0.0007233796;0
2.2;MPIB3;0.0003858025;0.0003375772;0;0.0004340278
2.2;MPIB2;0.000626929;0;0.0001446759;0.0003858025
2.2;MPIB1;0;0;0;0
2.25;MPIB4;0;0;0.0007233796;0
2.25;MPIB3;0.0003858025;0.0003375772;0;0.0004340278
2.25;MPIB2;0.000626929;0;0.0002411265;0.0002893519
2.25;MPIB1;0;0;0;0
2.3;MPIB4;0;0;0.0007233796;0
2.3;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.3;MPIB2;0.0003375772;0;0.0001929012;0.0003375772
2.3;MPIB1;0;0;0;0
2.35;MPIB4;0;0;0.0007233796;0
2.35;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.35;MPIB2;0;0;0;0
2.35;MPIB1;0;0;0;0
2.4;MPIB4;0;0;0.0007233796;0
2.4;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.4;MPIB2;0;0;0;0
2.4;MPIB1;0;0;0;0
2.45;MPIB4;0;0;0.0007233796;0
2.45;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.45;MPIB2;0;0;0;0
2.45;MPIB1;0;0;0;0
2.5;MPIB4;0;0;0.0007233796;0
2.5;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.5;MPIB2;0;0;0;0
2.5;MPIB1;0;0;0;0
2.55;MPIB4;0;0;0.0007233796;0
2.55;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.55;MPIB2;9.645062E-05;0;0.0001929012;4.822531E-05
2.55;MPIB1;0;0;0;0
2.6;MPIB4;0;0;0.0007233796;0
2.6;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.6;MPIB2;0.0001446759;0;0.0003858025;0.0001446759
2.6;MPIB1;0;0;0;0
2.65;MPIB4;0;0;0.0007233796;0
2.65;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
2.65;MPIB2;0.0001446759;0;0.0003375772;0.0001929012
2.65;MPIB1;0;0;0;0
2.7;MPIB4;0;0;0.0007233796;0
2.7;MPIB3;0.0003858025;0.0003375772;0;0.0004340278
2.7;MPIB2;0.0002893519;0;0.0005304784;0.0001929012
2.7;MPIB1;0;0;0;0
2.75;MPIB4;0;0;0.0007233796;0
2.75;MPIB3;0.0003858025;0.0003375772;0;0.0004340278
2.75;MPIB2;0.0003375772;0;0.0004822531;0.0003375772
2.75;MPIB1;0;0;0;0
2.8;MPIB4;0;0;0.0007233796;0
2.8;MPIB3;0.0003858025;0.0002411265;0;0.0004340278
2.8;MPIB2;0.0003375772;0;0.000626929;0.0001929012
2.8;MPIB1;0;0;0;0
2.85;MPIB4;0;0;0.0007233796;0
2.85;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
2.85;MPIB2;0.0001446759;0;0.0007233796;0.0001446759
2.85;MPIB1;0;0;0;0
2.9;MPIB4;0;0;0.0007233796;0
2.9;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
2.9;MPIB2;0.0002893519;0;0;0.0002893519
2.9;MPIB1;0;0;0;0
2.95;MPIB4;0;0;0.0007233796;0
2.95;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
2.95;MPIB2;0.0002411265;0;0;0.0001446759
2.95;MPIB1;0;0;0;0
3;MPIB4;0;0;0.0007233796;0
3;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
3;MPIB2;0.0002893519;0;0;0.0002893519
3;MPIB1;0;0;0;0
3.05;MPIB4;0;0;0.0007233796;0
3.05;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
3.05;MPIB2;0.0001446759;0;0;0.0001446759
3.05;MPIB1;0;0;0;0
3.1;MPIB4;0;0;0.0006751543;0
3.1;MPIB3;0.0003858025;0.0002893519;0;0.0004822531
3.1;MPIB2;0.0003858025;0;0;0.0001446759
3.1;MPIB1;0;0;0;0
3.15;MPIB4;0;0;0.0007233796;0
3.15;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
3.15;MPIB2;0.0001446759;0;0;0.0001929012
3.15;MPIB1;0;0;0;0
3.2;MPIB4;0;0;0.0007233796;0
3.2;MPIB3;0.0003858025;0.0002893519;0;0.0004822531
3.2;MPIB2;0.0002893519;0;0;0.0002411265
3.2;MPIB1;0;0;0;0
3.25;MPIB4;0;0;0.0007233796;0
3.25;MPIB3;0.0003858025;0.0002893519;0;0.0004822531
3.25;MPIB2;0.0002893519;0;0;0.0002893519
3.25;MPIB1;0;0;0;0
3.3;MPIB4;0;0;0.0007716049;0
3.3;MPIB3;0.0003858025;0.0002893519;0;0.0004340278
3.3;MPIB2;0.0001929012;0;0;0.0001929012
3.3;MPIB1;0;0;0;0
3.35;MPIB4;0;0;0.0007233796;0
3.35;MPIB3;0.0003858025;0.0002893519;0;0.0005304784
3.35;MPIB2;0.0001929012;0;0;0.0001446759
3.35;MPIB1;0;0;0;0
3.4;MPIB4;0;0;0.0007716049;0
3.4;MPIB3;0.0003375772;0.0002893519;0;0.0005304784
3.4;MPIB2;0.0002893519;0;0;0.0001929012
3.4;MPIB1;0;0;0;0
3.45;MPIB4;0;0;0.0007716049;0
3.45;MPIB3;0.0003858025;0.0002893519;0;0.0005787037
3.45;MPIB2;0.0002893519;0;0;9.645062E-05
3.45;MPIB1;0;0;0;0
3.5;MPIB4;0;0;0.0008198302;0
3.5;MPIB3;0.0003858025;0.0002893519;0;0.0005787037
3.5;MPIB2;0.0001929012;0;0;0.0002893519
3.5;MPIB1;0;0;0;0
3.55;MPIB4;0;0;0.0008680556;0
3.55;MPIB3;0.0003858025;0.0002893519;0;0.0006751543
3.55;MPIB2;0.0002411265;0;0;0.0001446759
3.55;MPIB1;0;0;0;0
3.6;MPIB4;0;0;0.0008680556;0
3.6;MPIB3;0.0003375772;0.0002411265;0;0.0006751543
3.6;MPIB2;0.0003858025;0;0;0.0002893519
3.6;MPIB1;0;0;0;0
3.65;MPIB4;0;0;0.0008680556;0
3.65;MPIB3;0.0003375772;0.0002893519;0;0.000626929
3.65;MPIB2;0.0003858025;0;0;0.0002893519
3.65;MPIB1;0;0;0;0
3.7;MPIB4;0;0;0.0008680556;0
3.7;MPIB3;0.0003858025;0.0002893519;0;0.0006751543
3.7;MPIB2;0.0002893519;0;0;0.0002411265
3.7;MPIB1;0;0;0;0
3.75;MPIB4;0;0;0.0008680556;0
3.75;MPIB3;0.0003375772;0.0002893519;0;0.0006751543
3.75;MPIB2;0.0002411265;0;0;0.0002411265
3.75;MPIB1;0;0;0;0
3.8;MPIB4;0;0;0.0008198302;0
3.8;MPIB3;0.0003375772;0.0002893519;0;0.0006751543
3.8;MPIB2;0.0002893519;0;0;0.0002411265
3.8;MPIB1;0;0;0;0
3.85;MPIB4;0;0;0.0008198302;0
3.85;MPIB3;0.0003858025;0.0002411265;0;0.0006751543
3.85;MPIB2;0.0002893519;0;0;0.0002893519
3.85;MPIB1;0;0;0;0
3.9;MPIB4;0;0;0.0008198302;0
3.9;MPIB3;0.0002893519;0.0002411265;0;0.0007716049
3.9;MPIB2;0.0003858025;0;0;0.0002893519
3.9;MPIB1;0;0;0;0
3.95;MPIB4;0;0;0.0008680556;0
3.95;MPIB3;0.0002893519;0.0001446759;0;0.000626929
3.95;MPIB2;0.0003375772;0;0;0.0002893519
3.95;MPIB1;0;0;0;0
4;MPIB4;0;0;0.0008198302;0
