"id";"separate";"env_type";"blocktype";"environment";"time_limit"
"1";"true";"SM";"pumpkin";"smooth.4";"120"
"2";"true";"RO";"melon";"random.9";"120"
"3";"true";"RO";"melon";"random.16";"120"
"4";"true";"SM";"pumpkin";"smooth.5";"120"
"5";"false";"SM";"pumpkin";"smooth.8";"120"
"6";"false";"RO";"melon";"random.12";"120"
"7";"false";"SM";"pumpkin";"smooth.2";"120"
"8";"false";"RO";"melon";"random.11";"120"
"9";"true";"RO";"melon";"random.15";"120"
"10";"true";"SM";"pumpkin";"smooth.15";"120"
"11";"true";"RO";"melon";"random.1";"120"
"12";"true";"SM";"pumpkin";"smooth.14";"120"
"13";"false";"RO";"melon";"random.7";"120"
"14";"false";"SM";"pumpkin";"smooth.13";"120"
"15";"false";"RO";"melon";"random.2";"120"
"16";"false";"SM";"pumpkin";"smooth.19";"120"
